"1","1","0","0","Coin","1"
"2","3","1","0","Mur_horizontal","1"
"3","3","2","0","Mur_horizontal","1"
"4","3","3","0","Mur_horizontal","1"
"5","3","4","0","Mur_horizontal","1"
"6","3","5","0","Mur_horizontal","1"
"7","3","6","0","Mur_horizontal","1"
"8","3","7","0","Mur_horizontal","1"
"9","3","8","0","Mur_horizontal","1"
"10","3","9","0","Mur_horizontal","1"
"11","3","10","0","Mur_horizontal","1"
"12","3","11","0","Mur_horizontal","1"
"13","3","12","0","Mur_horizontal","1"
"14","3","13","0","Mur_horizontal","1"
"15","3","14","0","Mur_horizontal","1"
"16","3","15","0","Mur_horizontal","1"
"17","3","16","0","Mur_horizontal","1"
"18","3","17","0","Mur_horizontal","1"
"19","3","18","0","Mur_horizontal","1"
"20","3","19","0","Mur_horizontal","1"
"21","1","20","0","Coin","1"
"22","2","0","1","Mur_vertical","1"
"23","30","1","1","Lorann","1"
"24","61","2","1","Noir","1"
"25","61","3","1","Noir","1"
"26","61","4","1","Noir","1"
"27","61","5","1","Noir","1"
"28","60","6","1","Bourse","1"
"29","61","7","1","Noir","1"
"30","61","8","1","Noir","1"
"31","31","9","1","Monstre_bleblaj","1"
"32","61","10","1","Noir","1"
"33","61","11","1","Noir","1"
"34","60","12","1","Bourse","1"
"35","61","13","1","Noir","1"
"36","61","14","1","Noir","1"
"37","61","15","1","Noir","1"
"38","61","16","1","Noir","1"
"39","61","17","1","Noir","1"
"40","61","18","1","Noir","1"
"41","61","19","1","Noir","1"
"42","2","20","1","Mur_vertical","1"
"43","2","0","2","Mur_vertical","1"
"44","61","1","2","Noir","1"
"45","61","2","2","Noir","1"
"46","61","3","2","Noir","1"
"47","61","4","2","Noir","1"
"48","61","5","2","Noir","1"
"49","1","6","2","Coin","1"
"50","1","7","2","Coin","1"
"51","1","8","2","Coin","1"
"52","1","9","2","Coin","1"
"53","1","10","2","Coin","1"
"54","1","11","2","Coin","1"
"55","1","12","2","Coin","1"
"56","61","13","2","Noir","1"
"57","61","14","2","Noir","1"
"58","61","15","2","Noir","1"
"59","61","16","2","Noir","1"
"60","4","17","2","Porte_fermee","1"
"61","61","18","2","Noir","1"
"62","61","19","2","Noir","1"
"63","2","20","2","Mur_vertical","1"
"64","2","0","3","Mur_vertical","1"
"65","61","1","3","Noir","1"
"66","61","2","3","Noir","1"
"67","61","3","3","Noir","1"
"68","61","4","3","Noir","1"
"69","61","5","3","Noir","1"
"70","61","6","3","Noir","1"
"71","61","7","3","Noir","1"
