1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,
2,34,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,32,2,
2,60,60,61,61,1,3,3,61,61,1,61,61,61,61,61,61,61,61,61,2,
2,3,3,3,3,1,61,33,61,1,61,1,61,61,61,61,61,61,61,61,2,
2,61,61,61,61,61,31,61,1,61,4,61,1,61,61,61,61,30,61,61,2,
2,61,61,61,3,3,3,1,1,1,1,1,1,1,61,61,61,61,61,61,2,
2,61,61,61,61,61,1,60,60,60,60,60,60,60,1,61,61,61,61,61,2,
2,3,1,61,61,1,61,61,61,61,61,61,61,61,61,1,61,61,61,61,2,
2,59,2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2,
2,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2,
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
