1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,
2,61,61,61,61,2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2,
2,61,61,61,61,2,61,3,3,3,3,3,3,3,61,61,61,61,61,61,2,
2,61,31,61,61,2,61,61,61,61,1,61,61,61,2,61,61,61,32,61,2,
2,61,61,61,61,2,61,61,61,1,61,1,61,61,2,61,61,61,61,61,2,
2,61,61,61,61,61,61,61,1,61,59,61,1,61,2,61,61,61,61,61,2,
2,61,61,61,61,61,61,1,1,1,1,61,1,1,61,61,61,61,61,61,2,
2,61,61,61,61,61,1,61,34,2,30,2,61,61,1,61,61,61,61,61,2,
2,61,61,61,61,1,61,61,61,2,61,2,61,61,61,1,61,61,61,61,2,
2,61,61,61,61,61,61,61,61,60,61,60,61,61,61,61,61,61,61,61,2,
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
