1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,
2,60,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,60,2,
2,1,33,1,61,61,61,61,60,61,61,61,60,61,61,61,61,1,32,1,2,
2,60,1,61,61,61,61,1,1,1,61,1,1,1,61,61,61,61,1,60,2,
2,61,61,61,61,61,1,61,61,61,1,61,61,61,1,61,61,61,61,61,2,
2,61,61,61,61,61,1,61,61,61,1,61,61,61,1,61,61,61,61,61,2,
2,61,61,61,61,61,61,1,61,61,59,61,61,1,61,61,61,61,61,61,2,
2,60,1,61,61,61,61,61,1,61,61,61,1,61,61,61,61,61,1,60,2,
2,1,31,1,61,61,61,61,61,1,30,1,61,61,61,61,61,1,34,1,2,
2,60,1,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,1,60,2,
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
