1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,
2,30,61,61,61,61,60,61,61,31,61,61,60,61,61,61,61,61,61,61,2,
2,61,61,61,61,61,1,1,1,1,1,1,1,61,61,61,61,4,61,61,2,
2,61,61,61,61,61,61,61,61,1,34,1,61,61,61,61,61,61,61,61,2,
2,61,61,61,61,61,61,61,61,1,1,60,61,61,61,61,61,61,61,61,2,
2,61,61,61,61,61,60,60,60,1,61,61,61,61,61,61,61,61,61,61,2,
2,61,2,61,61,61,60,61,33,1,61,61,61,61,1,61,61,61,61,61,2,
2,61,2,61,61,61,1,1,1,1,61,61,61,61,2,61,3,3,3,3,2,
2,61,2,61,61,61,61,61,61,61,61,3,3,3,2,61,61,61,61,60,2,
2,59,2,61,61,61,61,61,61,61,61,61,60,60,2,61,32,61,61,60,2,
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
