1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,
2,59,61,61,61,34,61,61,61,61,61,61,61,61,61,61,61,61,61,32,2,
2,61,61,2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60,60,2,
2,61,61,2,61,61,1,61,61,1,3,3,3,1,61,61,1,61,61,61,2,
2,61,61,2,61,61,61,1,61,2,61,61,61,2,61,1,61,61,61,61,2,
2,61,61,1,3,3,3,3,1,2,61,31,61,2,1,61,61,61,61,61,2,
2,61,61,61,61,61,61,1,61,1,3,3,3,1,61,61,61,61,61,61,2,
1,3,3,3,3,1,61,61,61,61,1,30,1,61,61,61,61,61,60,60,2,
2,33,60,60,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,4,
2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60,60,2,
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
